name,id,team,position,timeOnIce,gamePlayed,goals,assists,specialTeams,shots,hits,blocked,evenTimeOnIce,powerPlayTimeOnIce,shortHandedTimeOnIce,fantasyPoints,FPP60,FPPG,gamesRemain,fantasyPace,last3FPPG
Trevor van Riemsdyk,ID8477845,WSH,D,9543,8,0,1,1,8,1,19,8275,34,1234,11.9,4.49,1.49,74,121.26,1.47
Adam Lowry,ID8476392,WPG,C,8381,9,2,4,1,10,18,4,7123,59,1199,13.299999999999999,5.71,1.48,73,121.03999999999999,1.24
Alexander Romanov,ID8481014,NYI,D,9977,8,0,0,0,13,10,19,9115,16,846,11.8,4.26,1.48,74,120.52,1.55
Damon Severson,ID8476923,CBJ,D,10869,9,1,2,1,8,5,15,9432,624,813,13.3,4.41,1.48,73,121.03999999999999,1.55
Vladislav Gavrikov,ID8478882,LAK,D,10470,8,2,1,0,10,3,11,8971,151,1348,11.8,4.06,1.48,74,120.52,1.51
Carter Verhaeghe,ID8477409,FLA,C,8795,8,3,1,1,26,2,3,7715,1060,20,11.8,4.83,1.48,74,120.52,1.73
John Marino,ID8478507,NJD,D,9814,8,0,5,0,5,3,12,7887,102,1825,11.8,4.33,1.48,74,120.52,1.14
Oliver Bjorkstrand,ID8477416,SEA,RW,9981,10,2,6,3,21,11,0,8515,1466,0,14.7,5.3,1.47,72,119.84,1.58
Stefan Noesen,ID8476474,CAR,RW,7096,10,2,6,3,13,9,2,5731,1353,12,14.7,7.46,1.47,72,119.84,1.16
Adam Fantilli,ID8484166,CBJ,C,8841,9,2,3,2,23,4,5,7348,1493,0,13.2,5.37,1.47,73,120.31,1.47
Cole Guttman,ID8480252,CHI,C,1764,3,1,0,0,4,0,4,1592,4,168,4.4,8.98,1.47,73,111.31,1.26
Kris Letang,ID8471724,PIT,D,13205,9,0,5,0,17,15,10,11311,590,1304,13.2,3.6,1.47,73,120.31,2.33
Luke Evangelista,ID8482146,NSH,RW,7176,8,1,4,2,16,1,6,5634,1542,0,11.700000000000001,5.87,1.46,74,119.03999999999999,1.38
Alex Iafallo,ID8480113,WPG,LW,9519,9,3,1,2,25,1,5,7038,2252,229,13.1,4.95,1.46,73,119.58,1.43
Jason Robertson,ID8480027,DAL,LW,7445,7,1,5,1,19,3,1,6390,1021,34,10.2,4.93,1.46,75,119.5,2.46
Noah Hanifin,ID8478396,CGY,D,12598,9,0,4,2,15,6,12,9705,1544,1349,13.1,3.74,1.46,73,119.58,1.66
Ryan Graves,ID8477435,PIT,D,11223,9,0,2,0,15,6,18,9918,2,1303,13.1,4.2,1.46,73,119.58,1.65
Adam Larsson,ID8476457,SEA,D,14596,10,0,0,0,14,26,21,12882,125,1589,14.5,3.58,1.45,72,118.39999999999999,1.8
Matt Benning,ID8476988,SJS,D,8873,8,0,1,0,9,7,18,7523,4,1346,11.600000000000001,4.71,1.45,73,116.85,1.17
Will Borgen,ID8478840,SEA,D,10223,10,0,4,0,17,18,14,9255,0,968,14.5,5.11,1.45,72,118.39999999999999,1.17
Jason Dickinson,ID8477450,CHI,C,7778,9,1,1,0,11,19,14,6242,49,1487,13.0,6.02,1.44,73,118.11999999999999,1.15
Nicolas Roy,ID8478462,VGK,C,6327,7,3,1,0,13,3,3,5156,561,610,10.1,5.75,1.44,72,113.67999999999999,1.29
Michael Rasmussen,ID8479992,DET,C,9254,10,1,2,0,15,14,15,8091,51,1112,14.399999999999999,5.6,1.44,72,117.67999999999999,1.38
Jonathan Marchessault,ID8476539,VGK,RW,10409,10,3,2,2,33,15,1,8021,2386,2,14.3,4.95,1.43,72,116.96,1.81
Alex Barré-Boulet,ID8479718,TBL,C,5683,7,3,2,1,14,1,0,5186,497,0,10.0,6.33,1.43,73,114.39,0.99
J.T. Compher,ID8477456,DET,LW,11313,10,2,4,1,15,3,8,8488,967,1858,14.3,4.55,1.43,72,116.96,1.52
Erik Gustafsson,ID8476979,NYR,D,9567,9,2,2,1,15,3,9,8775,664,128,12.799999999999999,4.82,1.42,73,115.66,1.31
Tomas Hertl,ID8476881,SJS,C,11012,9,1,4,1,18,10,7,8716,1646,650,12.8,4.18,1.42,73,115.66,1.92
James van Riemsdyk,ID8474037,BOS,LW,7460,9,3,2,3,21,2,2,5633,1827,0,12.799999999999999,6.18,1.42,73,115.66,1.19
Braden Schneider,ID8482073,NYR,D,8404,9,1,1,0,10,13,15,7955,22,427,12.8,5.48,1.42,73,115.66,1.29
Josh Manson,ID8476312,COL,D,7749,8,0,1,1,11,13,15,6212,6,1531,11.4,5.3,1.42,74,116.08,1.36
Alex Tuch,ID8477949,BUF,RW,9789,9,1,4,1,19,4,8,7141,1742,906,12.8,4.71,1.42,73,115.66,2.14
Phillip Di Giuseppe,ID8476858,VAN,LW,7290,8,2,2,0,9,10,7,6510,21,759,11.4,5.63,1.42,74,116.08,1.26
Kiefer Sherwood,ID8480748,NSH,LW,5721,8,2,2,0,12,17,5,5567,13,141,11.4,7.17,1.42,74,116.08,1.24
