name,id,team,position,timeOnIce,gamePlayed,goals,assists,specialTeams,shots,hits,blocked,evenTimeOnIce,powerPlayTimeOnIce,shortHandedTimeOnIce,fantasyPoints,FPP60,FPPG,gamesRemain,fantasyPace,last3FPPG
Kent Johnson,ID8482660,CBJ,C,5633,7,1,2,0,11,2,5,4340,1293,0,7.8,4.98,1.11,73,88.03,1.1
Kevin Bahl,ID8480860,NJD,D,9163,8,0,2,0,8,16,9,7816,29,1318,8.9,3.5,1.11,74,90.14,0.95
Travis Hamonic,ID8474612,OTT,D,7749,8,0,1,0,10,9,12,6130,39,1580,8.9,4.13,1.11,74,90.14,1.67
J.J. Moser,ID8482655,ARI,D,8071,8,1,1,0,5,9,9,7126,105,840,8.9,3.97,1.11,74,90.14,1.45
Jake Neighbours,ID8482089,STL,LW,5289,7,1,0,0,7,10,8,4958,7,324,7.7,5.24,1.1,75,89.5,0.88
Arthur Kaliyev,ID8481560,LAK,RW,5138,6,1,3,0,12,4,0,4513,625,0,6.6,4.62,1.1,74,87.4,1.05
Olli Maatta,ID8476874,DET,D,7309,8,0,2,0,4,4,12,6952,74,283,8.8,4.33,1.1,72,87.2,1.21
Zach Sanford,ID8477482,ARI,LW,444,1,0,1,0,0,1,0,444,0,0,1.1,8.92,1.1,74,82.4,1.16
Brandon Tanev,ID8479293,SEA,LW,607,1,0,0,0,1,0,2,454,0,153,1.1,6.52,1.1,72,80.2,1.49
Jacob Bryson,ID8480196,BUF,D,808,1,0,0,0,0,1,2,808,0,0,1.1,4.9,1.1,73,81.30000000000001,0.85
Blake Coleman,ID8476399,CGY,C,8114,9,2,1,0,21,8,4,7131,5,978,9.9,4.39,1.1,73,89.30000000000001,1.31
Morgan Barron,ID8480289,WPG,C,5865,9,2,1,1,11,7,5,4612,14,1239,9.8,6.02,1.09,73,88.57000000000001,0.99
Calle Jarnkrok,ID8475714,TOR,C,7248,8,1,2,1,12,5,5,6074,501,673,8.7,4.32,1.09,74,88.66000000000001,1.12
Beck Malenstyn,ID8479359,WSH,LW,5171,8,0,0,0,6,16,13,3514,0,1657,8.7,6.06,1.09,74,88.66000000000001,0.97
Mattias Ekholm,ID8475218,EDM,D,8157,7,0,1,0,11,15,8,6749,448,960,7.6000000000000005,3.35,1.09,74,87.66000000000001,1.46
Trevor Lewis,ID8473453,LAK,C,5360,8,2,2,1,13,4,1,4212,39,1109,8.7,5.84,1.09,74,88.66000000000001,0.92
Tyler Seguin,ID8475794,DAL,C,6852,7,1,2,0,13,3,4,5612,878,362,7.6,3.99,1.09,75,88.75,1.53
Jordan Greenway,ID8478413,BUF,LW,8801,9,1,3,0,12,11,5,6800,10,1991,9.8,4.01,1.09,73,88.57000000000001,1.1
Cole Sillinger,ID8482705,CBJ,C,7160,9,0,3,0,14,9,9,5848,388,924,9.8,4.93,1.09,73,88.57000000000001,1.03
Garnet Hathaway,ID8477903,PHI,RW,6109,9,1,0,0,11,21,9,5519,119,471,9.7,5.72,1.08,73,87.84,1.37
Vladislav Namestnikov,ID8476480,WPG,C,7483,9,1,2,1,17,5,6,6340,419,724,9.7,4.67,1.08,73,87.84,1.04
Morgan Geekie,ID8479987,BOS,C,7710,9,1,2,0,13,9,7,6784,907,19,9.7,4.53,1.08,73,87.84,0.89
Travis Boyd,ID8476329,ARI,C,2536,4,0,3,0,6,2,1,2401,81,54,4.300000000000001,6.1,1.08,74,83.92,1.24
Luke Kunin,ID8479316,SJS,C,8783,9,1,0,0,17,15,9,6579,494,1710,9.7,3.98,1.08,73,87.84,1.24
Jean-Gabriel Pageau,ID8476419,NYI,C,8018,8,0,2,0,13,18,7,6102,782,1134,8.6,3.86,1.08,74,87.92,1.59
Ben Hutton,ID8477018,VGK,D,4509,5,0,1,0,8,1,7,4154,355,0,5.4,4.31,1.08,72,82.76,1.12
Tony DeAngelo,ID8477950,CAR,D,9731,10,0,4,2,21,1,7,7482,2219,30,10.7,3.96,1.07,72,87.04,1.77
William Eklund,ID8482667,SJS,LW,8979,9,1,1,2,12,4,8,7767,1117,95,9.6,3.85,1.07,73,87.11,1.13
Anders Lee,ID8475314,NYI,LW,7453,8,1,1,0,20,15,4,6460,972,21,8.5,4.11,1.06,74,86.44,1.67
Connor Clifton,ID8477365,BUF,D,7433,8,0,1,0,12,23,8,6621,18,794,8.5,4.12,1.06,73,85.38000000000001,1.33
Kevin Shattenkirk,ID8474031,BOS,D,7984,8,0,1,0,12,8,11,7137,672,175,8.5,3.83,1.06,73,85.38000000000001,1.6
Sebastian Aho (D),ID8480222,NYI,D,6486,8,0,1,0,8,2,13,5419,770,297,8.5,4.72,1.06,74,86.44,1.11
Jon Merrill,ID8475750,MIN,D,8103,9,0,2,0,7,3,13,7072,173,858,9.5,4.22,1.06,73,86.38000000000001,1.17
Michael Eyssimont,ID8479591,TBL,C,5829,9,2,1,0,19,11,3,5829,0,0,9.5,5.87,1.06,73,86.38000000000001,0.97
Devin Shore,ID8476913,SEA,C,1989,4,1,0,0,5,7,2,1989,0,0,4.199999999999999,7.6,1.05,72,79.60000000000001,0.71
Ryan Carpenter,ID8477846,SJS,C,1532,2,0,0,0,4,2,3,1221,0,311,2.1,4.93,1.05,73,78.65,0.82
Parker Kelly,ID8480448,OTT,LW,5520,8,1,2,1,8,10,4,4205,141,1174,8.3,5.41,1.04,74,84.96000000000001,0.97
Pavel Buchnevich,ID8477402,STL,LW,4780,5,1,1,1,10,2,1,3355,930,495,5.2,3.92,1.04,75,83.0,2.05
Jordan Harris,ID8480887,MTL,D,10632,9,0,1,0,5,4,15,9235,16,1381,9.4,3.18,1.04,73,84.92,1.21
Connor McMichael,ID8481580,WSH,C,7119,8,2,1,1,10,3,3,6498,18,603,8.3,4.2,1.04,74,84.96000000000001,0.77
Matt Grzelcyk,ID8476891,BOS,D,8237,9,1,0,0,12,2,12,7579,108,550,9.4,4.11,1.04,73,84.92,1.16
Cole Perfetti,ID8482149,WPG,C,7186,9,1,5,0,18,1,1,5899,1287,0,9.4,4.71,1.04,73,84.92,1.12
Gustav Forsling,ID8478055,FLA,D,12078,8,1,0,1,13,5,8,9889,756,1433,8.3,2.47,1.04,74,84.96000000000001,1.59
Jordan Staal,ID8473533,CAR,C,9689,10,1,3,1,15,9,5,7998,185,1506,10.4,3.86,1.04,72,84.88,1.27
Justin Schultz,ID8474602,SEA,D,9734,10,1,1,0,17,1,11,8459,1257,18,10.3,3.81,1.03,72,84.16,1.23
Kevin Stenlund,ID8478831,FLA,C,6070,8,2,0,0,11,6,5,4686,194,1190,8.200000000000001,4.86,1.03,74,84.22,0.76
David Gustafsson,ID8481019,WPG,C,3243,6,2,0,0,7,0,3,2873,0,370,6.2,6.88,1.03,73,81.19,0.53
Kirill Marchenko,ID8480893,CBJ,RW,6953,7,0,3,0,20,2,4,5436,1515,2,7.2,3.73,1.03,73,82.19,1.41
Connor Dewar,ID8480980,MIN,C,5977,9,2,1,1,8,10,4,4933,119,925,9.3,5.6,1.03,73,84.19,0.88
Sean Kuraly,ID8476374,CBJ,C,6925,9,2,0,0,13,19,4,5309,19,1597,9.2,4.78,1.02,73,83.46000000000001,1.27
Brendan Gallagher,ID8475848,MTL,RW,7126,9,2,1,1,20,7,2,5917,1209,0,9.2,4.65,1.02,73,83.46000000000001,1.16
Trent Frederic,ID8479365,BOS,C,7201,9,2,1,0,14,13,3,6757,8,436,9.2,4.6,1.02,73,83.46000000000001,1.06
Mikael Backlund,ID8474150,CGY,C,10201,9,0,3,1,25,7,5,7512,1169,1520,9.200000000000001,3.25,1.02,73,83.46000000000001,1.38
Arber Xhekaj,ID8482964,MTL,D,8493,9,0,2,0,9,23,8,7384,892,217,9.2,3.9,1.02,73,83.46000000000001,1.25
William Carrier,ID8477478,VGK,LW,5004,8,2,0,0,11,15,3,5000,4,0,8.100000000000001,5.83,1.01,72,80.72,1.21
Kasperi Kapanen,ID8477953,STL,RW,7140,7,1,2,1,9,7,2,5632,818,690,7.1000000000000005,3.58,1.01,75,82.75,1.12
Wyatt Kaiser,ID8482176,CHI,D,9357,9,0,1,0,3,7,14,8041,11,1305,9.0,3.46,1.0,73,82.0,1.05
Julien Gauthier,ID8479328,NYI,RW,778,1,0,0,0,1,4,1,778,0,0,1.0,4.63,1.0,74,75.0,0.75
Noah Gregor,ID8479393,TOR,C,4687,8,1,0,0,22,13,5,4275,5,407,8.0,6.14,1.0,74,82.0,1.24
Zac Jones,ID8481708,NYR,D,750,1,0,0,0,4,1,1,750,0,0,1.0,4.8,1.0,73,74.0,0.82
Craig Smith,ID8475225,DAL,C,4417,7,1,1,0,8,6,5,4394,23,0,6.8999999999999995,5.62,0.99,75,80.25,1.06
Brandon Duhaime,ID8479520,MIN,RW,5427,9,2,0,1,11,18,3,4599,120,708,8.9,5.9,0.99,73,80.27,0.87
Nico Hischier,ID8480002,NJD,C,7067,7,2,0,1,14,5,1,5138,1336,593,6.9,3.51,0.99,74,79.26,2.03
Jarred Tinordi,ID8475797,CHI,D,6301,7,0,0,0,7,17,9,5477,4,820,6.9,3.94,0.99,73,78.27,1.31
Brandon Saad,ID8476438,STL,LW,7073,7,2,0,0,13,1,3,6317,697,59,6.8999999999999995,3.51,0.99,75,80.25,1.32
Calen Addison,ID8480884,MIN,D,9719,9,0,4,2,15,3,4,7021,2698,0,8.799999999999999,3.26,0.98,73,79.53999999999999,1.05
Milan Lucic,ID8473473,BOS,LW,2873,4,0,2,0,1,8,2,2767,106,0,3.9000000000000004,4.89,0.98,73,74.53999999999999,0.83
Kailer Yamamoto,ID8479977,SEA,RW,6773,10,2,2,2,10,3,3,5082,1471,220,9.8,5.21,0.98,72,79.56,1.21
Filip Zadina,ID8480821,SJS,RW,8197,9,2,0,1,15,3,5,6621,812,764,8.8,3.86,0.98,73,79.53999999999999,0.97
Jakub Vrana,ID8477944,STL,LW,3667,5,1,2,0,7,2,0,3133,534,0,4.8999999999999995,4.81,0.98,75,77.5,1.64
Dennis Gilbert,ID8478502,CGY,D,6347,8,0,1,0,7,16,9,6284,6,57,7.8,4.42,0.98,73,78.53999999999999,1.05
Nikita Zadorov,ID8477507,CGY,D,10151,9,0,2,0,13,19,7,9146,90,915,8.7,3.09,0.97,73,78.81,1.16
Gabriel Vilardi,ID8480014,WPG,C,2642,3,0,1,0,9,0,2,1986,656,0,2.9000000000000004,3.95,0.97,73,72.81,1.39
Jakob Silfverberg,ID8475164,ANA,RW,6794,9,1,2,1,9,3,6,4675,1217,902,8.7,4.61,0.97,73,78.81,1.06
Alex Wennberg,ID8477505,SEA,C,11239,10,0,2,0,13,4,12,9572,396,1271,9.7,3.11,0.97,72,78.84,1.16
Pavel Dorofeyev,ID8481604,VGK,LW,3956,5,1,1,0,10,3,1,3487,469,0,4.8,4.37,0.96,72,73.12,1.27
Justin Holl,ID8475718,DET,D,8106,8,0,3,0,1,6,8,7093,61,952,7.7,3.42,0.96,72,76.12,1.38
Matthew Phillips,ID8479547,WSH,RW,5213,8,1,2,0,6,1,6,4681,474,58,7.7,5.32,0.96,74,78.03999999999999,0.78
Tomas Tatar,ID8475193,COL,LW,5882,8,0,4,0,1,6,6,5392,281,209,7.7,4.71,0.96,74,78.03999999999999,1.18
T.J. Oshie,ID8471698,WSH,RW,8808,8,0,1,0,23,9,7,6900,1822,86,7.7,3.15,0.96,74,78.03999999999999,1.66
Ross Colton,ID8479525,COL,C,6329,8,1,1,0,18,8,4,5209,676,444,7.6,4.32,0.95,74,77.3,1.31
Nikita Zaitsev,ID8479458,CHI,D,1783,2,0,0,0,0,4,3,1774,3,6,1.9000000000000001,3.84,0.95,73,70.35,1.3
Juuso Parssinen,ID8481704,NSH,C,7139,8,2,1,1,10,6,1,6489,599,51,7.6000000000000005,3.83,0.95,74,77.3,1.21
Ivan Barbashev,ID8477964,VGK,C,9164,10,2,0,0,14,20,4,8138,1020,6,9.4,3.69,0.94,72,76.67999999999999,1.5
Sammy Blais,ID8478104,STL,LW,5400,7,1,1,0,6,25,1,4738,662,0,6.6,4.4,0.94,75,76.5,1.12
Noah Cates,ID8480220,PHI,LW,8698,9,1,3,1,9,1,4,6513,1187,998,8.5,3.52,0.94,73,76.61999999999999,1.29
Johnny Gaudreau,ID8476346,CBJ,LW,11173,9,0,4,1,29,0,2,9080,2093,0,8.4,2.71,0.93,73,75.89,2.02
Jake Evans,ID8478133,MTL,C,7286,9,1,0,0,6,8,10,5054,30,2202,8.4,4.15,0.93,73,75.89,1.05
Michael McCarron,ID8477446,NSH,RW,1798,3,0,1,0,1,7,2,1723,5,70,2.8000000000000003,5.61,0.93,74,70.82000000000001,0.99
Calvin de Haan,ID8475177,TBL,D,5626,6,0,1,0,3,8,7,5178,11,437,5.6,3.58,0.93,73,72.89,1.41
Andreas Englund,ID8477971,LAK,D,5622,8,0,2,0,1,18,7,5009,0,613,7.4,4.74,0.92,74,75.08,0.81
Taylor Hall,ID8475791,CHI,LW,4647,5,0,2,1,7,4,2,3489,1154,4,4.6,3.56,0.92,73,71.16,1.56
Andre Burakovsky,ID8477444,SEA,LW,5583,6,0,2,1,14,1,3,4779,804,0,5.5,3.55,0.92,72,71.24000000000001,1.55
Chad Ruhwedel,ID8477244,PIT,D,5661,8,0,1,0,2,12,10,4450,0,1211,7.4,4.71,0.92,73,74.16,1.01
Brett Kulak,ID8476967,EDM,D,7459,8,1,0,0,12,2,8,6320,69,1070,7.3999999999999995,3.57,0.92,74,75.08,1.12
Luke Glendening,ID8476822,TBL,C,6444,9,1,0,0,4,14,9,5501,0,943,8.299999999999999,4.64,0.92,73,75.16,0.94
Zemgus Girgensons,ID8476878,BUF,LW,6269,9,2,0,0,10,8,5,5198,21,1050,8.3,4.77,0.92,73,75.16,0.98
Alexey Toropchenko,ID8480281,STL,RW,5431,7,0,2,0,6,13,5,5046,0,385,6.4,4.24,0.91,75,74.25,1.01
A.J. Greer,ID8478421,CGY,LW,4544,8,1,1,1,9,14,3,4445,92,7,7.3,5.78,0.91,73,73.43,0.79
Tye Kartye,ID8481789,SEA,LW,6726,9,2,0,0,25,12,1,6611,115,0,8.2,4.39,0.91,72,73.52,0.91
Luke Schenn,ID8474568,NSH,D,911,1,0,0,0,0,4,1,787,0,124,0.9,3.56,0.9,74,66.60000000000001,1.62
Zack MacEwen,ID8479772,OTT,RW,797,2,0,1,0,2,1,1,793,4,0,1.8,8.13,0.9,74,67.60000000000001,0.79
Brayden Schenn,ID8475170,STL,C,7293,7,0,1,1,11,22,3,5783,1355,155,6.300000000000001,3.11,0.9,75,73.5,1.79
Alex Laferriere,ID8482155,LAK,RW,6500,8,2,0,0,20,2,2,5990,507,3,7.200000000000001,3.99,0.9,74,73.60000000000001,0.9
Jordan Spence,ID8481606,LAK,D,5967,7,0,2,0,3,5,7,4952,952,63,6.3,3.8,0.9,74,72.60000000000001,1.15
Sam Lafferty,ID8478043,VAN,C,6258,8,1,1,0,10,12,4,5454,159,645,7.2,4.14,0.9,74,73.60000000000001,1.05
Nikolai Knyzhov,ID8481812,SJS,D,7763,7,0,1,0,3,5,9,7001,392,370,6.3,2.92,0.9,73,71.7,0.97
Noel Acciari,ID8478569,PIT,C,6338,9,0,0,0,8,18,11,5234,0,1104,8.1,4.6,0.9,73,73.7,1.4
Jake McCabe,ID8476931,TOR,D,7046,7,0,0,0,6,12,9,6369,11,666,6.3,3.22,0.9,74,72.60000000000001,1.71
Miles Wood,ID8477425,COL,LW,5601,8,1,0,0,14,17,4,5069,0,532,7.1000000000000005,4.56,0.89,74,72.86,0.99
Kyle Okposo,ID8473449,BUF,RW,6689,9,0,3,0,7,8,7,5629,118,942,8.0,4.31,0.89,73,72.97,1.21
Marc Staal,ID8471686,PHI,D,3736,4,0,0,0,3,2,6,3026,18,692,3.5,3.37,0.88,73,67.24,1.13
Jake DeBrusk,ID8478498,BOS,LW,8476,8,0,3,0,15,5,4,6432,802,1242,7.0,2.97,0.88,73,71.24,1.59
Jordan Eberle,ID8474586,SEA,RW,10255,10,1,2,1,19,4,4,8910,1341,4,8.8,3.09,0.88,72,71.36,1.43
Johnathan Kovacevic,ID8480192,MTL,D,10529,9,0,0,0,6,7,13,8471,84,1974,7.800000000000001,2.67,0.87,73,70.50999999999999,0.99
Dillon Dube,ID8479346,CGY,C,7976,9,1,2,1,10,3,4,6251,1071,654,7.8,3.52,0.87,73,70.50999999999999,1.16
David Jiricek,ID8483460,CBJ,D,6546,8,1,1,0,5,4,6,6456,5,85,6.9,3.79,0.86,73,68.78,0.98
Rickard Rakell,ID8476483,PIT,RW,8446,9,0,1,0,24,8,7,7142,1304,0,7.7,3.28,0.86,73,69.78,1.79
Marco Scandella,ID8474618,STL,D,5194,7,0,1,0,5,5,8,4966,9,219,6.0,4.16,0.86,75,70.5,1.01
Radek Faksa,ID8476889,DAL,C,5631,7,0,0,0,4,6,10,4515,27,1089,6.0,3.84,0.86,75,70.5,1.04
Michael McLeod,ID8479415,NJD,C,6275,8,1,1,0,9,14,3,5410,35,830,6.8,3.9,0.85,74,68.9,0.91
Marc-Edouard Vlasic,ID8471709,SJS,D,4662,6,0,0,0,5,1,9,4084,4,574,5.1,3.94,0.85,73,67.05,1.05
Tyson Jost,ID8479370,BUF,C,3955,6,1,1,0,9,7,1,3710,44,201,5.1,4.64,0.85,73,67.05,0.84
Troy Stecher,ID8479442,ARI,D,6577,6,0,1,0,7,4,6,5808,55,714,5.1,2.79,0.85,74,67.9,0.99
Pierre-Edouard Bellemare,ID8477930,SEA,LW,5741,10,1,0,1,9,5,9,4294,44,1403,8.4,5.27,0.84,72,68.47999999999999,0.8
Matt Martin,ID8474709,NYI,LW,4184,8,1,1,0,8,19,2,4174,10,0,6.7,5.76,0.84,74,68.16,0.91
Travis Dermott,ID8478408,ARI,D,6599,6,0,0,0,6,4,8,5574,29,996,5.0,2.73,0.83,74,66.41999999999999,0.72
Sam Carrick,ID8475842,ANA,C,6327,9,1,2,0,10,9,3,4372,199,1756,7.4,4.21,0.82,73,66.86,0.84
Anthony Beauvillier,ID8478463,VAN,LW,6270,8,0,1,0,16,5,7,5595,638,37,6.6,3.79,0.82,74,66.68,1.14
Alexander Holtz,ID8482125,NJD,RW,4943,8,2,1,0,13,2,0,4277,666,0,6.5,4.73,0.81,74,65.94,0.68
Jimmy Vesey,ID8476918,NYR,LW,4047,7,0,2,0,4,8,5,3485,6,556,5.7,5.07,0.81,73,64.13,0.91
Brendan Smith,ID8474090,NJD,D,7194,8,0,0,0,13,12,8,6257,0,937,6.5,3.25,0.81,74,65.94,0.99
Liam O'Brien,ID8477070,ARI,C,4664,8,1,2,0,7,18,0,4467,7,190,6.5,5.02,0.81,74,65.94,0.84
Nathan Bastian,ID8479414,NJD,RW,4336,7,0,0,0,12,14,6,3626,32,678,5.6000000000000005,4.65,0.8,74,64.2,1.18
Eetu Luostarinen,ID8480185,FLA,C,8131,8,0,1,0,8,6,8,6291,706,1134,6.4,2.83,0.8,74,65.2,1.15
Emil Andrae,ID8482126,PHI,D,3120,4,0,0,0,0,2,6,3105,15,0,3.2,3.69,0.8,73,61.400000000000006,0.8
Conor Garland,ID8478856,VAN,RW,5988,8,1,1,1,12,7,2,5428,560,0,6.4,3.85,0.8,74,65.2,1.3
Jeremy Lauzon,ID8478468,NSH,D,7511,8,0,0,0,8,16,8,6810,17,684,6.4,3.07,0.8,74,65.2,1.15
Alex Kerfoot,ID8477021,ARI,C,7305,8,0,3,0,8,6,4,5892,263,1150,6.4,3.15,0.8,74,65.2,1.22
Tyson Foerster,ID8482159,PHI,RW,7182,8,0,2,1,14,5,4,5795,1387,0,6.4,3.21,0.8,73,64.4,1.54
Josh Anderson,ID8476981,MTL,RW,9019,9,0,1,0,20,22,4,7078,1837,104,7.2,2.87,0.8,73,65.4,1.48
Curtis Lazar,ID8477508,NJD,C,4781,7,0,0,0,4,17,7,4335,39,407,5.6,4.22,0.8,74,64.2,1.09
Sam Steel,ID8479351,DAL,C,2151,3,0,1,0,3,1,2,1871,17,263,2.4,4.02,0.8,75,62.0,0.84
Gustav Lindström,ID8480184,MTL,D,1422,2,0,0,0,1,0,3,1376,0,46,1.6,4.05,0.8,73,59.400000000000006,0.95
Dakota Joshua,ID8478057,VAN,C,6248,8,1,0,0,7,16,4,5238,114,896,6.3,3.63,0.79,74,64.46000000000001,0.96
Max Domi,ID8477503,TOR,C,6430,8,0,4,1,10,3,1,5905,525,0,6.300000000000001,3.53,0.79,74,64.46000000000001,1.21
Erik Cernak,ID8478416,TBL,D,10388,9,0,0,0,2,19,10,9152,10,1226,7.1,2.46,0.79,73,64.67,1.35
Hampus Lindholm,ID8476854,BOS,D,12846,9,0,0,0,14,2,11,10231,1014,1601,7.1,1.99,0.79,73,64.67,1.59
Anthony Mantha,ID8477511,WSH,RW,5267,7,1,1,0,9,5,2,5017,250,0,5.3999999999999995,3.69,0.77,74,61.980000000000004,1.17
Matty Beniers,ID8482665,SEA,C,11131,10,0,3,2,18,4,3,9500,1439,192,7.699999999999999,2.49,0.77,72,62.44,1.59
Andrew Cogliano,ID8471699,COL,C,4345,7,0,3,2,2,1,2,3347,6,992,5.3,4.39,0.76,74,61.24,0.82
Mark Friedman,ID8478017,VAN,D,4129,5,0,0,0,2,6,6,4129,0,0,3.8,3.31,0.76,74,59.24,0.95
Andreas Athanasiou,ID8476960,CHI,C,6411,8,0,3,1,15,1,2,5519,892,0,6.1000000000000005,3.43,0.76,73,61.480000000000004,1.33
Oskar Steen,ID8479546,BOS,C,819,2,0,0,0,2,3,2,819,0,0,1.5,6.59,0.75,73,55.75,0.88
Tyler Pitlick,ID8475752,NYR,C,1317,2,0,0,0,1,4,2,1127,0,190,1.5,4.1,0.75,73,55.75,0.83
Nikita Alexandrov,ID8481543,STL,C,1102,2,0,0,0,1,4,2,1102,0,0,1.5,4.9,0.75,75,57.25,0.79
Mason Marchment,ID8478975,DAL,LW,5885,7,1,1,0,15,7,0,5397,480,8,5.2,3.18,0.74,75,60.5,1.46
Fredrik Olofsson,ID8478028,COL,LW,5427,8,1,0,0,11,3,5,4271,6,1150,5.9,3.91,0.74,74,59.76,0.6
Yakov Trenin,ID8478508,NSH,C,7315,8,0,0,0,20,24,3,6371,18,926,5.9,2.9,0.74,74,59.76,1.09
Jack Studnicka,ID8480021,VAN,C,2028,4,1,0,0,4,5,0,1856,6,166,2.9000000000000004,5.15,0.73,74,56.019999999999996,0.69
Nazem Kadri,ID8475172,CGY,C,9566,9,1,1,1,24,2,1,7635,1897,34,6.6000000000000005,2.48,0.73,73,59.29,1.96
Ondrej Palat,ID8476292,NJD,LW,6906,8,0,2,2,12,11,1,5843,843,220,5.800000000000001,3.02,0.73,74,59.019999999999996,1.44
Brett Howden,ID8479353,VGK,C,6257,8,1,2,0,6,7,1,5690,1,566,5.8,3.34,0.72,72,56.839999999999996,1.06
Walker Duehr,ID8482652,CGY,RW,4871,9,1,2,0,7,12,1,4794,70,7,6.4,4.73,0.71,73,57.83,0.99
Keegan Kolesar,ID8478434,VGK,RW,6857,10,0,1,0,8,33,4,6589,2,266,7.1,3.73,0.71,72,58.12,1.07
Josh Mahura,ID8479372,FLA,D,5959,8,0,3,0,8,3,3,5585,12,362,5.6,3.38,0.7,74,56.8,0.97
Cody Ceci,ID8476879,EDM,D,9687,8,0,1,0,7,4,7,8200,25,1462,5.6,2.08,0.7,74,56.8,1.3
Louie Belpedio,ID8478011,PHI,D,2375,3,0,0,0,1,0,4,2375,0,0,2.1,3.18,0.7,73,53.099999999999994,0.7
Dylan Samberg,ID8480049,WPG,D,7841,9,0,2,0,7,6,6,6945,7,889,6.300000000000001,2.89,0.7,73,57.099999999999994,1.1
Tyler Motte,ID8477353,TBL,C,475,1,0,0,0,0,2,1,340,0,135,0.7,5.31,0.7,73,51.099999999999994,1.27
Nick Cousins,ID8476393,FLA,C,5379,8,1,0,0,13,12,2,5194,185,0,5.5,3.68,0.69,74,56.059999999999995,0.92
Sonny Milano,ID8477947,WSH,LW,5406,7,1,1,0,7,1,2,5393,3,10,4.800000000000001,3.2,0.69,74,55.059999999999995,1.05
Michael Pezzetta,ID8479543,MTL,LW,3040,7,0,1,0,6,22,2,2944,10,86,4.8,5.68,0.69,73,54.37,0.93
Jesper Fast,ID8475855,CAR,RW,8484,10,1,1,0,16,7,3,7407,115,962,6.800000000000001,2.89,0.68,72,54.96,1.01
Conor Sheary,ID8477839,TBL,LW,6254,9,0,2,0,10,1,6,5856,344,54,6.1,3.51,0.68,73,55.64,1.28
Simon Holmstrom,ID8481601,NYI,RW,5365,7,1,0,0,6,1,4,4757,8,600,4.7,3.15,0.67,74,53.580000000000005,0.62
Dylan Holloway,ID8482077,EDM,LW,5818,8,0,0,0,12,16,5,5406,76,336,5.3,3.28,0.66,74,53.84,0.64
Anthony Duclair,ID8477407,SJS,LW,9010,9,1,0,0,11,8,4,7216,1479,315,5.9,2.36,0.66,73,53.18,1.51
Juraj Slafkovsky,ID8483515,MTL,LW,7734,9,0,1,0,10,14,5,6682,1047,5,5.8999999999999995,2.75,0.66,73,53.18,0.88
Anton Lundell,ID8482113,FLA,C,7069,8,0,2,1,9,3,3,5834,894,341,5.2,2.65,0.65,74,53.1,1.35
Pierre Engvall,ID8478115,NYI,LW,7021,8,0,4,0,6,1,1,6166,845,10,5.2,2.67,0.65,74,53.1,0.96
Haydn Fleury,ID8477938,TBL,D,1347,2,0,1,0,0,3,0,1281,1,65,1.3,3.47,0.65,73,48.45,1.07
Mathieu Olivier,ID8479671,CBJ,RW,3311,6,0,2,0,4,10,1,3308,3,0,3.9,4.24,0.65,73,50.45,1.02
Ryan Lindgren,ID8479324,NYR,D,9485,8,0,0,0,4,12,7,7922,0,1563,5.1000000000000005,1.94,0.64,73,51.72,1.31
Nils Lundkvist,ID8480878,DAL,D,6935,7,0,1,0,6,3,5,6164,771,0,4.4,2.28,0.63,75,51.25,1.02
Givani Smith,ID8479379,SJS,RW,3945,7,0,0,0,13,11,4,3929,16,0,4.4,4.02,0.63,73,49.99,0.65
John Beecher,ID8481556,BOS,C,5599,9,0,1,0,8,13,5,4335,4,1260,5.6,3.6,0.62,73,50.26,0.62
Barrett Hayton,ID8480849,ARI,C,9371,8,0,0,0,23,1,5,6555,2077,739,4.9,1.88,0.61,74,49.14,1.23
Matt Coronato,ID8482679,CGY,RW,7583,9,1,1,1,20,0,0,5959,1624,0,5.5,2.61,0.61,73,49.53,0.6
Yegor Sharangovich,ID8481068,CGY,C,7031,9,1,1,0,12,3,2,5725,330,976,5.5,2.82,0.61,73,49.53,1.2
Nicklas Backstrom,ID8473563,WSH,C,6988,8,0,1,0,12,2,5,5915,1042,31,4.9,2.52,0.61,74,49.14,1.26
Nico Sturm,ID8481477,SJS,C,8213,9,0,0,0,7,3,9,6446,43,1724,5.5,2.41,0.61,73,49.53,0.99
David Kampf,ID8480144,TOR,C,6204,8,0,2,0,4,9,3,5230,3,971,4.8,2.79,0.6,74,48.4,0.83
Adam Boqvist,ID8480871,CBJ,D,1935,2,0,0,0,2,0,2,1780,133,22,1.2000000000000002,2.23,0.6,73,44.8,1.36
Zach Benson,ID8484145,BUF,LW,4781,6,0,2,0,6,0,2,4225,549,7,3.6000000000000005,2.71,0.6,73,46.8,0.6
Logan Stanley,ID8479378,WPG,D,870,1,0,0,0,0,1,1,870,0,0,0.6,2.48,0.6,73,43.8,1.36
Uvis Balinskis,ID8484304,FLA,D,6719,8,0,0,0,6,12,6,6476,89,154,4.8,2.57,0.6,74,48.4,0.6
Will Cuylle,ID8482157,NYR,LW,7037,9,1,0,0,9,25,0,6729,308,0,5.4,2.76,0.6,73,48.8,0.48
Jack Johnson,ID8471677,COL,D,6529,8,0,1,0,8,0,6,6001,1,527,4.8,2.65,0.6,74,48.4,0.97
